;FILENAME;URL;TYPE;FICHIER;MASQUE;LUMINOSITE;LUMINOSITE-CORR;CONTRASTE;CONTRASTE-CORR
233;COVID-234;https://github.com/ml-workgroup/covid-19-image-repository/tree/master/png;COVID;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_ORIG\COVID\COVID-234.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_ORIG\COVID-234.png;;;;
282;COVID-283;https://github.com/ml-workgroup/covid-19-image-repository/tree/master/png;COVID;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_ORIG\COVID\COVID-283.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_ORIG\COVID-283.png;;;;
302;COVID-303;https://eurorad.org;COVID;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_ORIG\COVID\COVID-303.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_ORIG\COVID-303.png;;;;
354;COVID-355;https://eurorad.org;COVID;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_ORIG\COVID\COVID-355.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_ORIG\COVID-355.png;;;;
389;COVID-390;https://eurorad.org;COVID;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_ORIG\COVID\COVID-390.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_ORIG\COVID-390.png;;;;
390;COVID-391;https://eurorad.org;COVID;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_ORIG\COVID\COVID-391.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_ORIG\COVID-391.png;;;;
397;COVID-398;https://eurorad.org;COVID;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_ORIG\COVID\COVID-398.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_ORIG\COVID-398.png;;;;
398;COVID-399;https://eurorad.org;COVID;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_ORIG\COVID\COVID-399.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_ORIG\COVID-399.png;;;;
402;COVID-403;https://eurorad.org;COVID;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_ORIG\COVID\COVID-403.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_ORIG\COVID-403.png;;;;
445;COVID-446;https://eurorad.org;COVID;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_ORIG\COVID\COVID-446.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_ORIG\COVID-446.png;;;;
468;COVID-469;https://eurorad.org;COVID;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_ORIG\COVID\COVID-469.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_ORIG\COVID-469.png;;;;
508;COVID-509;https://eurorad.org;COVID;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_ORIG\COVID\COVID-509.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_ORIG\COVID-509.png;;;;
533;COVID-534;https://eurorad.org;COVID;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_ORIG\COVID\COVID-534.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_ORIG\COVID-534.png;;;;
552;COVID-553;https://eurorad.org;COVID;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_ORIG\COVID\COVID-553.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_ORIG\COVID-553.png;;;;
555;COVID-556;https://eurorad.org;COVID;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_ORIG\COVID\COVID-556.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_ORIG\COVID-556.png;;;;
577;COVID-578;https://github.com/armiro/COVID-CXNet;COVID;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_ORIG\COVID\COVID-578.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_ORIG\COVID-578.png;;;;
617;COVID-618;https://github.com/armiro/COVID-CXNet;COVID;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_ORIG\COVID\COVID-618.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_ORIG\COVID-618.png;;;;
635;COVID-636;https://github.com/armiro/COVID-CXNet;COVID;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_ORIG\COVID\COVID-636.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_ORIG\COVID-636.png;;;;
650;COVID-651;https://github.com/armiro/COVID-CXNet;COVID;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_ORIG\COVID\COVID-651.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_ORIG\COVID-651.png;;;;
665;COVID-666;https://github.com/armiro/COVID-CXNet;COVID;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_ORIG\COVID\COVID-666.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_ORIG\COVID-666.png;;;;
674;COVID-675;https://github.com/armiro/COVID-CXNet;COVID;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_ORIG\COVID\COVID-675.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_ORIG\COVID-675.png;;;;
697;COVID-698;https://github.com/armiro/COVID-CXNet;COVID;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_ORIG\COVID\COVID-698.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_ORIG\COVID-698.png;;;;
714;COVID-715;https://github.com/armiro/COVID-CXNet;COVID;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_ORIG\COVID\COVID-715.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_ORIG\COVID-715.png;;;;
726;COVID-727;https://github.com/armiro/COVID-CXNet;COVID;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_ORIG\COVID\COVID-727.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_ORIG\COVID-727.png;;;;
764;COVID-765;https://github.com/armiro/COVID-CXNet;COVID;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_ORIG\COVID\COVID-765.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_ORIG\COVID-765.png;;;;
772;COVID-773;https://github.com/armiro/COVID-CXNet;COVID;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_ORIG\COVID\COVID-773.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_ORIG\COVID-773.png;;;;
798;COVID-799;https://github.com/armiro/COVID-CXNet;COVID;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_ORIG\COVID\COVID-799.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_ORIG\COVID-799.png;;;;
843;COVID-844;https://github.com/armiro/COVID-CXNet;COVID;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_ORIG\COVID\COVID-844.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_ORIG\COVID-844.png;;;;
910;COVID-911;https://github.com/armiro/COVID-CXNet;COVID;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_ORIG\COVID\COVID-911.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_ORIG\COVID-911.png;;;;
921;COVID-922;https://github.com/armiro/COVID-CXNet;COVID;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_ORIG\COVID\COVID-922.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_ORIG\COVID-922.png;;;;
929;COVID-930;https://github.com/armiro/COVID-CXNet;COVID;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_ORIG\COVID\COVID-930.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_ORIG\COVID-930.png;;;;
977;COVID-978;https://github.com/ieee8023/covid-chestxray-dataset;COVID;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_ORIG\COVID\COVID-978.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_ORIG\COVID-978.png;;;;
984;COVID-985;https://github.com/ieee8023/covid-chestxray-dataset;COVID;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_ORIG\COVID\COVID-985.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_ORIG\COVID-985.png;;;;
997;COVID-998;https://github.com/ieee8023/covid-chestxray-dataset;COVID;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_ORIG\COVID\COVID-998.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_ORIG\COVID-998.png;;;;
1030;COVID-1031;https://github.com/ieee8023/covid-chestxray-dataset;COVID;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_ORIG\COVID\COVID-1031.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_ORIG\COVID-1031.png;;;;
1064;COVID-1065;https://github.com/ieee8023/covid-chestxray-dataset;COVID;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_ORIG\COVID\COVID-1065.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_ORIG\COVID-1065.png;;;;
1078;COVID-1079;https://github.com/ieee8023/covid-chestxray-dataset;COVID;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_ORIG\COVID\COVID-1079.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_ORIG\COVID-1079.png;;;;
1112;COVID-1113;https://github.com/ieee8023/covid-chestxray-dataset;COVID;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_ORIG\COVID\COVID-1113.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_ORIG\COVID-1113.png;;;;
1151;COVID-1152;https://bimcv.cipf.es/bimcv-projects/bimcv-covid19/#1590858128006-9e640421-6711;COVID;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_ORIG\COVID\COVID-1152.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_ORIG\COVID-1152.png;;;;
1214;COVID-1215;https://bimcv.cipf.es/bimcv-projects/bimcv-covid19/#1590858128006-9e640421-6711;COVID;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_ORIG\COVID\COVID-1215.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_ORIG\COVID-1215.png;;;;
1267;COVID-1268;https://bimcv.cipf.es/bimcv-projects/bimcv-covid19/#1590858128006-9e640421-6711;COVID;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_ORIG\COVID\COVID-1268.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_ORIG\COVID-1268.png;;;;
1273;COVID-1274;https://bimcv.cipf.es/bimcv-projects/bimcv-covid19/#1590858128006-9e640421-6711;COVID;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_ORIG\COVID\COVID-1274.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_ORIG\COVID-1274.png;;;;
1287;COVID-1288;https://bimcv.cipf.es/bimcv-projects/bimcv-covid19/#1590858128006-9e640421-6711;COVID;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_ORIG\COVID\COVID-1288.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_ORIG\COVID-1288.png;;;;
1289;COVID-1290;https://bimcv.cipf.es/bimcv-projects/bimcv-covid19/#1590858128006-9e640421-6711;COVID;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_ORIG\COVID\COVID-1290.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_ORIG\COVID-1290.png;;;;
1297;COVID-1298;https://bimcv.cipf.es/bimcv-projects/bimcv-covid19/#1590858128006-9e640421-6711;COVID;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_ORIG\COVID\COVID-1298.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_ORIG\COVID-1298.png;;;;
1346;COVID-1347;https://bimcv.cipf.es/bimcv-projects/bimcv-covid19/#1590858128006-9e640421-6711;COVID;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_ORIG\COVID\COVID-1347.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_ORIG\COVID-1347.png;;;;
1348;COVID-1349;https://bimcv.cipf.es/bimcv-projects/bimcv-covid19/#1590858128006-9e640421-6711;COVID;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_ORIG\COVID\COVID-1349.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_ORIG\COVID-1349.png;;;;
1375;COVID-1376;https://bimcv.cipf.es/bimcv-projects/bimcv-covid19/#1590858128006-9e640421-6711;COVID;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_ORIG\COVID\COVID-1376.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_ORIG\COVID-1376.png;;;;
1408;COVID-1409;https://bimcv.cipf.es/bimcv-projects/bimcv-covid19/#1590858128006-9e640421-6711;COVID;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_ORIG\COVID\COVID-1409.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_ORIG\COVID-1409.png;;;;
1433;COVID-1434;https://bimcv.cipf.es/bimcv-projects/bimcv-covid19/#1590858128006-9e640421-6711;COVID;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_ORIG\COVID\COVID-1434.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_ORIG\COVID-1434.png;;;;
1442;COVID-1443;https://bimcv.cipf.es/bimcv-projects/bimcv-covid19/#1590858128006-9e640421-6711;COVID;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_ORIG\COVID\COVID-1443.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_ORIG\COVID-1443.png;;;;
1447;COVID-1448;https://bimcv.cipf.es/bimcv-projects/bimcv-covid19/#1590858128006-9e640421-6711;COVID;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_ORIG\COVID\COVID-1448.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_ORIG\COVID-1448.png;;;;
1460;COVID-1461;https://bimcv.cipf.es/bimcv-projects/bimcv-covid19/#1590858128006-9e640421-6711;COVID;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_ORIG\COVID\COVID-1461.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_ORIG\COVID-1461.png;;;;
1467;COVID-1468;https://bimcv.cipf.es/bimcv-projects/bimcv-covid19/#1590858128006-9e640421-6711;COVID;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_ORIG\COVID\COVID-1468.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_ORIG\COVID-1468.png;;;;
1493;COVID-1494;https://bimcv.cipf.es/bimcv-projects/bimcv-covid19/#1590858128006-9e640421-6711;COVID;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_ORIG\COVID\COVID-1494.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_ORIG\COVID-1494.png;;;;
1544;COVID-1545;https://bimcv.cipf.es/bimcv-projects/bimcv-covid19/#1590858128006-9e640421-6711;COVID;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_ORIG\COVID\COVID-1545.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_ORIG\COVID-1545.png;;;;
1551;COVID-1552;https://bimcv.cipf.es/bimcv-projects/bimcv-covid19/#1590858128006-9e640421-6711;COVID;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_ORIG\COVID\COVID-1552.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_ORIG\COVID-1552.png;;;;
1554;COVID-1555;https://bimcv.cipf.es/bimcv-projects/bimcv-covid19/#1590858128006-9e640421-6711;COVID;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_ORIG\COVID\COVID-1555.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_ORIG\COVID-1555.png;;;;
1556;COVID-1557;https://bimcv.cipf.es/bimcv-projects/bimcv-covid19/#1590858128006-9e640421-6711;COVID;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_ORIG\COVID\COVID-1557.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_ORIG\COVID-1557.png;;;;
1584;COVID-1585;https://bimcv.cipf.es/bimcv-projects/bimcv-covid19/#1590858128006-9e640421-6711;COVID;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_ORIG\COVID\COVID-1585.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_ORIG\COVID-1585.png;;;;
1596;COVID-1597;https://bimcv.cipf.es/bimcv-projects/bimcv-covid19/#1590858128006-9e640421-6711;COVID;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_ORIG\COVID\COVID-1597.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_ORIG\COVID-1597.png;;;;
1608;COVID-1609;https://bimcv.cipf.es/bimcv-projects/bimcv-covid19/#1590858128006-9e640421-6711;COVID;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_ORIG\COVID\COVID-1609.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_ORIG\COVID-1609.png;;;;
1620;COVID-1621;https://bimcv.cipf.es/bimcv-projects/bimcv-covid19/#1590858128006-9e640421-6711;COVID;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_ORIG\COVID\COVID-1621.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_ORIG\COVID-1621.png;;;;
1652;COVID-1653;https://bimcv.cipf.es/bimcv-projects/bimcv-covid19/#1590858128006-9e640421-6711;COVID;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_ORIG\COVID\COVID-1653.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_ORIG\COVID-1653.png;;;;
1663;COVID-1664;https://bimcv.cipf.es/bimcv-projects/bimcv-covid19/#1590858128006-9e640421-6711;COVID;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_ORIG\COVID\COVID-1664.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_ORIG\COVID-1664.png;;;;
1681;COVID-1682;https://bimcv.cipf.es/bimcv-projects/bimcv-covid19/#1590858128006-9e640421-6711;COVID;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_ORIG\COVID\COVID-1682.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_ORIG\COVID-1682.png;;;;
