;FILENAME;URL;TYPE;FICHIER;MASQUE;LUMINOSITE;LUMINOSITE-CORR;CONTRASTE;CONTRASTE-CORR;LUMINOSITE-CORR2;CONTRASTE-CORR2
233;COVID-234;https://github.com/ml-workgroup/covid-19-image-repository/tree/master/png;COVID;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_LumCorr_Cropped\COVID-234.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_Cropped\COVID-234.png;208.3032851981521;188.6880683661257;0.6242038216560509;0.6242038216560509;188.0280157940069;0.6282051282051282
282;COVID-283;https://github.com/ml-workgroup/covid-19-image-repository/tree/master/png;COVID;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_LumCorr_Cropped\COVID-283.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_Cropped\COVID-283.png;200.97146564356103;194.64259907607297;1.0;1.0;193.98255388701003;1.0
302;COVID-303;https://eurorad.org;COVID;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_LumCorr_Cropped\COVID-303.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_Cropped\COVID-303.png;240.19846534155096;215.92166754286865;0.8345323741007195;0.8345323741007195;215.26161497074986;0.8405797101449275
354;COVID-355;https://eurorad.org;COVID;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_LumCorr_Cropped\COVID-355.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_Cropped\COVID-355.png;225.45388754040783;201.8499121933759;0.7894736842105263;0.7832167832167832;201.18985962125717;0.7887323943661971
389;COVID-390;https://eurorad.org;COVID;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_LumCorr_Cropped\COVID-390.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_Cropped\COVID-390.png;223.2678940951444;210.2905895907205;0.7647058823529411;0.7647058823529411;209.63053701860167;0.7700348432055749
390;COVID-391;https://eurorad.org;COVID;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_LumCorr_Cropped\COVID-391.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_Cropped\COVID-391.png;206.1393720428183;194.1401326607085;0.7770034843205574;0.7770034843205574;193.48008008858974;0.7824561403508772
397;COVID-398;https://eurorad.org;COVID;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_LumCorr_Cropped\COVID-398.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_Cropped\COVID-398.png;217.14149729868797;205.6553394257335;0.6943521594684385;0.6887417218543046;204.99528685361474;0.6933333333333334
398;COVID-399;https://eurorad.org;COVID;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_LumCorr_Cropped\COVID-399.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_Cropped\COVID-399.png;234.19425957204055;219.19069137929105;0.8279569892473119;0.8279569892473119;218.53063880717227;0.8339350180505415
402;COVID-403;https://eurorad.org;COVID;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_LumCorr_Cropped\COVID-403.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_Cropped\COVID-403.png;210.79820136240087;190.7031576828;0.6776315789473685;0.6776315789473685;190.0431051106812;0.6821192052980133
445;COVID-446;https://eurorad.org;COVID;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_LumCorr_Cropped\COVID-446.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_Cropped\COVID-446.png;221.79202693482176;191.92427377769823;0.795774647887324;0.795774647887324;191.26422120557947;0.8014184397163121
468;COVID-469;https://eurorad.org;COVID;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_LumCorr_Cropped\COVID-469.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_Cropped\COVID-469.png;217.1935213252648;205.7229337479447;0.6887417218543046;0.6776315789473685;205.0628811758259;0.6821192052980133
508;COVID-509;https://eurorad.org;COVID;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_LumCorr_Cropped\COVID-509.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_Cropped\COVID-509.png;219.7265243118086;219.56189528081345;0.4825581395348837;0.4825581395348837;218.90184270869463;0.4853801169590643
533;COVID-534;https://eurorad.org;COVID;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_LumCorr_Cropped\COVID-534.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_Cropped\COVID-534.png;242.04742676256416;225.13717967360543;0.4245810055865922;0.4245810055865922;224.47712710148664;0.42696629213483145
552;COVID-553;https://eurorad.org;COVID;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_LumCorr_Cropped\COVID-553.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_Cropped\COVID-553.png;218.6721401326607;190.24007561436676;0.8149466192170819;0.8149466192170819;189.58002304224797;0.8207885304659498
555;COVID-556;https://eurorad.org;COVID;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_LumCorr_Cropped\COVID-556.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_Cropped\COVID-556.png;238.79472265410905;208.73396270735228;0.6831683168316832;0.6831683168316832;208.07391013523352;0.6877076411960132
577;COVID-578;https://github.com/armiro/COVID-CXNet;COVID;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_LumCorr_Cropped\COVID-578.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_Cropped\COVID-578.png;216.57133589109745;194.30734555541883;0.7114093959731543;0.705685618729097;193.6472929833001;0.7104377104377104
617;COVID-618;https://github.com/armiro/COVID-CXNet;COVID;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_LumCorr_Cropped\COVID-618.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_Cropped\COVID-618.png;211.90701446292547;188.07532354224224;0.9172932330827068;0.9172932330827068;187.41527097012352;0.9242424242424242
635;COVID-636;https://github.com/armiro/COVID-CXNet;COVID;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_LumCorr_Cropped\COVID-636.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_Cropped\COVID-636.png;216.02230400107385;215.75080815650836;0.5501519756838906;0.5501519756838906;215.0907555843895;0.5535168195718655
650;COVID-651;https://github.com/armiro/COVID-CXNet;COVID;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_LumCorr_Cropped\COVID-651.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_Cropped\COVID-651.png;223.6124316282816;195.9119025514256;0.7770034843205574;0.7770034843205574;195.25184997930685;0.7824561403508772
665;COVID-666;https://github.com/armiro/COVID-CXNet;COVID;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_LumCorr_Cropped\COVID-666.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_Cropped\COVID-666.png;188.0196753951298;186.6346461448977;0.7586206896551724;0.7586206896551724;185.97459357277896;0.7638888888888888
674;COVID-675;https://github.com/armiro/COVID-CXNet;COVID;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_LumCorr_Cropped\COVID-675.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_Cropped\COVID-675.png;210.2331964966835;190.406427221172;0.795774647887324;0.795774647887324;189.74637464905328;0.8014184397163121
697;COVID-698;https://github.com/armiro/COVID-CXNet;COVID;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_LumCorr_Cropped\COVID-698.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_Cropped\COVID-698.png;225.43501750539704;214.6541649422266;0.4206128133704735;0.4206128133704735;213.9941123701078;0.42296918767507
714;COVID-715;https://github.com/armiro/COVID-CXNet;COVID;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_LumCorr_Cropped\COVID-715.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_Cropped\COVID-715.png;210.7110546861892;196.38825069070816;0.7;0.6943521594684385;195.7281981185894;0.6989966555183946
726;COVID-727;https://github.com/armiro/COVID-CXNet;COVID;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_LumCorr_Cropped\COVID-727.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_Cropped\COVID-727.png;196.93017975190435;181.57558640283665;0.8478260869565217;0.8478260869565217;180.91553383071792;0.8540145985401459
764;COVID-765;https://github.com/armiro/COVID-CXNet;COVID;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_LumCorr_Cropped\COVID-765.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_Cropped\COVID-765.png;221.9554367400812;201.4704645361909;0.8545454545454545;0.8545454545454545;200.81041196407213;0.8608058608058609
772;COVID-773;https://github.com/armiro/COVID-CXNet;COVID;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_LumCorr_Cropped\COVID-773.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_Cropped\COVID-773.png;209.40775830247983;203.69673717296223;0.5987460815047022;0.59375;203.03668460084353;0.5974842767295597
798;COVID-799;https://github.com/armiro/COVID-CXNet;COVID;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_LumCorr_Cropped\COVID-799.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_Cropped\COVID-799.png;207.2939228867686;191.87163454547488;0.7288135593220338;0.7288135593220338;191.21158197335615;0.7337883959044369
843;COVID-844;https://github.com/armiro/COVID-CXNet;COVID;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_LumCorr_Cropped\COVID-844.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_Cropped\COVID-844.png;225.79791053791345;196.87522510933883;0.705685618729097;0.705685618729097;196.21517253722007;0.7104377104377104
910;COVID-911;https://github.com/armiro/COVID-CXNet;COVID;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_LumCorr_Cropped\COVID-911.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_Cropped\COVID-911.png;223.3141016319728;211.4041677386159;0.7465753424657534;0.7465753424657534;210.7441151664971;0.7517241379310344
921;COVID-922;https://github.com/armiro/COVID-CXNet;COVID;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_LumCorr_Cropped\COVID-922.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_Cropped\COVID-922.png;223.93383742911152;184.8328989608617;0.8345323741007195;0.8345323741007195;184.17284638874298;0.8405797101449275
929;COVID-930;https://github.com/armiro/COVID-CXNet;COVID;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_LumCorr_Cropped\COVID-930.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_Cropped\COVID-930.png;221.7033366517153;203.28100356819277;0.7406143344709898;0.7406143344709898;202.62095099607401;0.7457044673539519
977;COVID-978;https://github.com/ieee8023/covid-chestxray-dataset;COVID;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_LumCorr_Cropped\COVID-978.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_Cropped\COVID-978.png;210.2060715204528;192.39411192268545;0.9101123595505618;0.9101123595505618;191.73405935056667;0.9169811320754717
984;COVID-985;https://github.com/ieee8023/covid-chestxray-dataset;COVID;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_LumCorr_Cropped\COVID-985.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_Cropped\COVID-985.png;208.14441672911937;194.39165110009955;0.9844357976653696;0.9245283018867924;193.7315985279808;0.9315589353612167
997;COVID-998;https://github.com/ieee8023/covid-chestxray-dataset;COVID;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_LumCorr_Cropped\COVID-998.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_Cropped\COVID-998.png;242.60129081330183;221.1396181250769;0.7346938775510204;0.7346938775510204;220.47956555295812;0.7397260273972602
1030;COVID-1031;https://github.com/ieee8023/covid-chestxray-dataset;COVID;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_LumCorr_Cropped\COVID-1031.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_Cropped\COVID-1031.png;225.00199102918316;207.2205008892518;0.8345323741007195;0.8279569892473119;206.56044831713305;0.8339350180505415
1064;COVID-1065;https://github.com/ieee8023/covid-chestxray-dataset;COVID;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_LumCorr_Cropped\COVID-1065.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_Cropped\COVID-1065.png;234.3286875985727;217.8005950716435;0.452991452991453;0.452991452991453;217.1405424995247;0.45558739255014324
1078;COVID-1079;https://github.com/ieee8023/covid-chestxray-dataset;COVID;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_LumCorr_Cropped\COVID-1079.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_Cropped\COVID-1079.png;197.53785751837228;192.5815483048288;0.8411552346570397;0.8279569892473119;191.92149573271007;0.8339350180505415
1112;COVID-1113;https://github.com/ieee8023/covid-chestxray-dataset;COVID;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_LumCorr_Cropped\COVID-1113.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_Cropped\COVID-1113.png;225.6310108388049;198.16415923759243;0.536144578313253;0.536144578313253;197.50410666547367;0.5393939393939394
1151;COVID-1152;https://bimcv.cipf.es/bimcv-projects/bimcv-covid19/#1590858128006-9e640421-6711;COVID;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_LumCorr_Cropped\COVID-1152.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_Cropped\COVID-1152.png;232.02502209147548;215.45403295265157;0.4127423822714681;0.4127423822714681;214.79398038053276;0.415041782729805
1214;COVID-1215;https://bimcv.cipf.es/bimcv-projects/bimcv-covid19/#1590858128006-9e640421-6711;COVID;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_LumCorr_Cropped\COVID-1215.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_Cropped\COVID-1215.png;219.84573998053716;209.17733582398407;0.6887417218543046;0.6831683168316832;208.51728325186528;0.6877076411960132
1267;COVID-1268;https://bimcv.cipf.es/bimcv-projects/bimcv-covid19/#1590858128006-9e640421-6711;COVID;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_LumCorr_Cropped\COVID-1268.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_Cropped\COVID-1268.png;178.52916634042126;173.08412657576537;0.875;0.8681318681318682;172.4240740036466;0.8745387453874539
1273;COVID-1274;https://bimcv.cipf.es/bimcv-projects/bimcv-covid19/#1590858128006-9e640421-6711;COVID;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_LumCorr_Cropped\COVID-1274.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_Cropped\COVID-1274.png;203.8058634690887;197.40262413172115;0.9101123595505618;0.9029850746268656;196.74257155960237;0.9097744360902256
1287;COVID-1288;https://bimcv.cipf.es/bimcv-projects/bimcv-covid19/#1590858128006-9e640421-6711;COVID;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_LumCorr_Cropped\COVID-1288.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_Cropped\COVID-1288.png;198.9953244370868;194.58437825080256;1.0;0.9245283018867924;193.92432567868383;0.9315589353612167
1289;COVID-1290;https://bimcv.cipf.es/bimcv-projects/bimcv-covid19/#1590858128006-9e640421-6711;COVID;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_LumCorr_Cropped\COVID-1290.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_Cropped\COVID-1290.png;234.82541582308923;212.46201944049844;0.4739884393063583;0.4697406340057637;211.80196686837965;0.47246376811594204
1297;COVID-1298;https://bimcv.cipf.es/bimcv-projects/bimcv-covid19/#1590858128006-9e640421-6711;COVID;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_LumCorr_Cropped\COVID-1298.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_Cropped\COVID-1298.png;223.379604254986;196.018075860449;0.6666666666666666;0.6612377850162866;195.35802328833023;0.6655737704918033
1346;COVID-1347;https://bimcv.cipf.es/bimcv-projects/bimcv-covid19/#1590858128006-9e640421-6711;COVID;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_LumCorr_Cropped\COVID-1347.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_Cropped\COVID-1347.png;221.72977930895627;195.6854956879677;0.8214285714285714;0.8149466192170819;195.02544311584896;0.8207885304659498
1348;COVID-1349;https://bimcv.cipf.es/bimcv-projects/bimcv-covid19/#1590858128006-9e640421-6711;COVID;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_LumCorr_Cropped\COVID-1349.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_Cropped\COVID-1349.png;217.879419693292;184.4804979810069;0.7171717171717171;0.7114093959731543;183.82044540888816;0.7162162162162162
1375;COVID-1376;https://bimcv.cipf.es/bimcv-projects/bimcv-covid19/#1590858128006-9e640421-6711;COVID;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_LumCorr_Cropped\COVID-1376.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_Cropped\COVID-1376.png;226.7844878692632;210.80408496549256;0.7346938775510204;0.7346938775510204;210.14403239337378;0.7397260273972602
1408;COVID-1409;https://bimcv.cipf.es/bimcv-projects/bimcv-covid19/#1590858128006-9e640421-6711;COVID;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_LumCorr_Cropped\COVID-1409.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_Cropped\COVID-1409.png;227.90015771635663;211.085446471516;0.4285714285714285;0.4285714285714285;210.4253938993972;0.4309859154929577
1433;COVID-1434;https://bimcv.cipf.es/bimcv-projects/bimcv-covid19/#1590858128006-9e640421-6711;COVID;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_LumCorr_Cropped\COVID-1434.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_Cropped\COVID-1434.png;231.7228890057158;220.29933669645757;0.6088328075709779;0.6037735849056604;219.63928412433876;0.6075949367088608
1442;COVID-1443;https://bimcv.cipf.es/bimcv-projects/bimcv-covid19/#1590858128006-9e640421-6711;COVID;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_LumCorr_Cropped\COVID-1443.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_Cropped\COVID-1443.png;231.7508640842944;213.91110837686375;0.6504854368932039;0.6451612903225806;213.251055804745;0.6493506493506493
